v1,v2,w
1033,35,0.047619047619047616
1688,35,0.07692307692307693
8865,35,0.05
12576,35,0.08571428571428572
15670,35,0.09090909090909091
18582,35,0.046511627906976744
28290,35,0.023809523809523808
28851,35,0.08108108108108109
33904,35,0.08571428571428572
33907,35,0.11428571428571428
35061,35,0.13043478260869565
41714,35,0.02702702702702703
44368,35,0.05263157894736842
45599,35,0.18421052631578946
46079,35,0.08108108108108109
46431,35,0.024390243902439025
48766,35,0.15625
54129,35,0.07692307692307693
54131,35,0.05128205128205128
56119,35,0.045454545454545456
66556,35,0.05714285714285714
66563,35,0.027777777777777776
66805,35,0.07894736842105263
69284,35,0.08333333333333333
69296,35,0.05128205128205128
78511,35,0.08333333333333333
81722,35,0.05128205128205128
82098,35,0.07894736842105263
84021,35,0.1111111111111111
85352,35,0.058823529411764705
86359,35,0.04
97645,35,0.08823529411764706
98698,35,0.07894736842105263
103482,35,0.02564102564102564
103515,35,0.05128205128205128
116552,35,0.05128205128205128
128540,35,0.07692307692307693
132806,35,0.08571428571428572
135130,35,0.05405405405405406
141342,35,0.11764705882352941
141347,35,0.05128205128205128
148170,35,0.04878048780487805
175291,35,0.07317073170731707
178727,35,0.14285714285714285
190697,35,0.16216216216216217
190706,35,0.08108108108108109
198443,35,0.16666666666666666
198653,35,0.07142857142857142
206371,35,0.05714285714285714
210871,35,0.1
229635,35,0.16666666666666666
231249,35,0.12903225806451613
248425,35,0.08
254923,35,0.047619047619047616
259701,35,0.12903225806451613
259702,35,0.07894736842105263
263279,35,0.02564102564102564
263498,35,0.14285714285714285
273152,35,0.15
286500,35,0.15384615384615385
287787,35,0.058823529411764705
289779,35,0.07692307692307693
289780,35,0.043478260869565216
289781,35,0.0975609756097561
307015,35,0.1
335733,35,0.025
387795,35,0.041666666666666664
415693,35,0.05555555555555555
427606,35,0.13043478260869565
503883,35,0.05
503893,35,0.15384615384615385
513189,35,0.08695652173913043
561238,35,0.09523809523809523
568857,35,0.024390243902439025
573964,35,0.1
573978,35,0.10526315789473684
574009,35,0.05263157894736842
574264,35,0.14285714285714285
574462,35,0.06060606060606061
575077,35,0.02631578947368421
575292,35,0.19444444444444445
575331,35,0.1111111111111111
576725,35,0.04878048780487805
576795,35,0.08
577227,35,0.08108108108108109
578780,35,0.08333333333333333
579008,35,0.1111111111111111
592973,35,0.05
593091,35,0.13043478260869565
593105,35,0.02564102564102564
593240,35,0.1111111111111111
593260,35,0.09090909090909091
593813,35,0.10256410256410256
594047,35,0.05263157894736842
594543,35,0.10526315789473684
594649,35,0.1
594900,35,0.08108108108108109
608326,35,0.07142857142857142
634902,35,0.15384615384615385
634904,35,0.058823529411764705
634938,35,0.07692307692307693
634975,35,0.08
640617,35,0.08333333333333333
646809,35,0.05263157894736842
646837,35,0.043478260869565216
647408,35,0.07692307692307693
647447,35,0.02857142857142857
694759,35,0.02564102564102564
735303,35,0.023809523809523808
787016,35,0.0975609756097561
801170,35,0.07692307692307693
1050679,35,0.23809523809523808
1103985,35,0.05128205128205128
1112911,35,0.05128205128205128
1113831,35,0.027777777777777776
1114331,35,0.08333333333333333
1117476,35,0.05128205128205128
1119505,35,0.075
1119708,35,0.02564102564102564
1120431,35,0.023255813953488372
1123756,35,0.04878048780487805
1125386,35,0.023255813953488372
1127430,35,0.08333333333333333
1128204,35,0.05128205128205128
1128227,35,0.07692307692307693
1128314,35,0.075
1128453,35,0.07317073170731707
1128959,35,0.17142857142857143
1129018,35,0.023809523809523808
1129027,35,0.041666666666666664
1129573,35,0.05
1129683,35,0.02702702702702703
1129778,35,0.02631578947368421
1130847,35,0.07692307692307693
1130856,35,0.09523809523809523
1131116,35,0.10526315789473684
1131360,35,0.09090909090909091
1131557,35,0.07894736842105263
1131752,35,0.058823529411764705
1133196,35,0.05555555555555555
1133338,35,0.058823529411764705
1136814,35,0.10256410256410256
1137466,35,0.1
1152421,35,0.18181818181818182
1152508,35,0.08108108108108109
1153065,35,0.07692307692307693
1153280,35,0.18181818181818182
1153577,35,0.08333333333333333
1153853,35,0.07894736842105263
1153943,35,0.027777777777777776
1154459,35,0.18181818181818182
116552,40,0.05405405405405406
1109017,40,0.13333333333333333
1114442,40,0.11428571428571428
128,114,0.06666666666666667
130,114,0.030303030303030304
434,114,0.030303030303030304
6155,114,0.14814814814814814
6170,114,0.0625
6196,114,0.034482758620689655
6220,114,0.0625
7432,114,0.02857142857142857
8213,114,0.03225806451612903
23258,114,0.03125
28227,114,0.10344827586206896
28287,114,0.03333333333333333
28350,114,0.07142857142857142
28387,114,0.029411764705882353
28471,114,0.027777777777777776
28485,114,0.0967741935483871
38480,114,0.07142857142857142
39403,114,0.14285714285714285
55968,114,0.06451612903225806
58540,114,0.03225806451612903
64484,114,0.03571428571428571
91975,114,0.06451612903225806
124064,114,0.08571428571428572
136665,114,0.06896551724137931
193742,114,0.043478260869565216
341188,114,0.02857142857142857
976334,114,0.06451612903225806
1105394,114,0.030303030303030304
1106112,114,0.10344827586206896
1106172,114,0.06060606060606061
1106406,114,0.0967741935483871
1107455,114,0.03333333333333333
1114125,114,0.037037037037037035
1117942,114,0.03125
1118245,114,0.02857142857142857
1120170,114,0.037037037037037035
1126029,114,0.07142857142857142
6214,117,0.027777777777777776
17476,117,0.13157894736842105
28202,117,0.06666666666666667
28387,117,0.10256410256410256
28471,117,0.125
32872,117,0.17142857142857143
33013,117,0.022727272727272728
38480,117,0.02702702702702703
39403,117,0.02564102564102564
75674,117,0.05128205128205128
189708,117,0.045454545454545456
206259,117,0.08108108108108109
341188,117,0.1282051282051282
1109581,117,0.18181818181818182
20526,128,0.1388888888888889
39403,128,0.08108108108108109
91975,128,0.10810810810810811
1114125,128,0.058823529411764705
13960,130,0.13157894736842105
39403,130,0.2
345340,130,0.19444444444444445
36167,288,0.05
1118092,288,0.1388888888888889
47684,424,0.05263157894736842
218666,424,0.13333333333333333
1135125,424,0.046511627906976744
267003,434,0.022222222222222223
58454,463,0.05263157894736842
506,504,0.046511627906976744
89416,504,0.15151515151515152
1102364,504,0.08823529411764706
89416,506,0.0975609756097561
1102364,506,0.1
1106546,506,0.09523809523809523
6151,887,0.09523809523809523
6213,887,0.07692307692307693
10796,887,0.08333333333333333
12576,887,0.045454545454545456
17476,887,0.07692307692307693
20972,887,0.1
28456,887,0.14285714285714285
64519,887,0.041666666666666664
114308,887,0.04
134128,887,0.10526315789473684
161221,887,0.045454545454545456
170798,887,0.043478260869565216
299195,887,0.15384615384615385
299197,887,0.2
334153,887,0.08
595056,887,0.05
976334,887,0.04
1105033,887,0.125
1111304,887,0.037037037037037035
1113614,887,0.047619047619047616
910,906,0.025
34355,906,0.14634146341463414
1105344,906,0.07142857142857142
1114352,906,0.04878048780487805
1140040,906,0.14285714285714285
5462,910,0.023809523809523808
5869,910,0.10810810810810811
12439,910,0.07692307692307693
12946,910,0.08333333333333333
13136,910,0.05555555555555555
28278,910,0.043478260869565216
31043,910,0.07317073170731707
34355,910,0.07317073170731707
42847,910,0.07894736842105263
48550,910,0.06666666666666667
58552,910,0.05405405405405406
67292,910,0.05
94953,910,0.02857142857142857
131042,910,0.10526315789473684
227286,910,0.05
242637,910,0.029411764705882353
340078,910,0.08571428571428572
436796,910,0.05263157894736842
576257,910,0.04878048780487805
636511,910,0.05263157894736842
675649,910,0.023809523809523808
684372,910,0.06666666666666667
1104379,910,0.05128205128205128
1105344,910,0.07692307692307693
1105530,910,0.025
1108834,910,0.041666666666666664
1114118,910,0.029411764705882353
1120858,910,0.10526315789473684
1122460,910,0.075
1126044,910,0.024390243902439025
1140040,910,0.05714285714285714
1152194,910,0.08571428571428572
1956,936,0.04878048780487805
3084,936,0.10526315789473684
38845,936,0.047619047619047616
129558,936,0.2857142857142857
207395,936,0.06666666666666667
1107010,936,0.025
1111899,936,0.023809523809523808
3828,940,0.05263157894736842
20180,940,0.02702702702702703
940,941,0.1111111111111111
20180,941,0.15789473684210525
28265,941,0.07317073170731707
129558,941,0.046511627906976744
91852,943,0.18421052631578946
1152896,943,0.022727272727272728
1034,1026,0.17142857142857143
1102550,1026,0.125
1105231,1026,0.025
1129798,1026,0.045454545454545456
1153945,1026,0.09090909090909091
1034,1033,0.42424242424242425
1107062,1033,0.16216216216216217
1153945,1034,0.07407407407407407
1034,1035,0.044444444444444446
1107062,1035,0.075
1110515,1035,0.045454545454545456
8766,1213,0.05
409725,1213,0.11363636363636363
1154525,1213,0.16666666666666666
102938,1237,0.03333333333333333
1102400,1237,0.03571428571428571
6125,1246,0.07407407407407407
42207,1246,0.125
57764,1246,0.09090909090909091
1102400,1246,0.07407407407407407
1104007,1246,0.038461538461538464
6917,1272,0.038461538461538464
6923,1272,0.06896551724137931
18615,1272,0.08
20593,1272,0.08
30895,1272,0.11538461538461539
30901,1272,0.12
65653,1272,0.1111111111111111
85452,1272,0.03571428571428571
85688,1272,0.15384615384615385
93923,1272,0.07692307692307693
97892,1272,0.038461538461538464
157805,1272,0.07407407407407407
254923,1272,0.03125
1102625,1272,0.14285714285714285
1120962,1272,0.034482758620689655
1128256,1272,0.09523809523809523
1135358,1272,0.06896551724137931
7276,1365,0.02702702702702703
7297,1365,0.07317073170731707
23448,1365,0.09090909090909091
23502,1365,0.029411764705882353
23507,1365,0.027777777777777776
77758,1365,0.02631578947368421
85299,1365,0.05555555555555555
90888,1365,0.02564102564102564
93555,1365,0.025
120084,1365,0.024390243902439025
139865,1365,0.029411764705882353
157401,1365,0.05405405405405406
161221,1365,0.05555555555555555
171225,1365,0.04878048780487805
184918,1365,0.02631578947368421
188318,1365,0.02564102564102564
188471,1365,0.023809523809523808
237521,1365,0.023255813953488372
340075,1365,0.02564102564102564
340299,1365,0.023809523809523808
562123,1365,0.025
628500,1365,0.02564102564102564
648232,1365,0.07407407407407407
649731,1365,0.023809523809523808
782486,1365,0.1
853150,1365,0.023809523809523808
948299,1365,0.07317073170731707
948846,1365,0.05405405405405406
949318,1365,0.05
950052,1365,0.05555555555555555
950305,1365,0.02702702702702703
1031453,1365,0.027777777777777776
1105062,1365,0.024390243902439025
1106287,1365,0.024390243902439025
1110998,1365,0.025
1113995,1365,0.047619047619047616
1114352,1365,0.05128205128205128
1116347,1365,0.02631578947368421
1116594,1365,0.05
1117653,1365,0.10256410256410256
1119140,1365,0.030303030303030304
1120211,1365,0.07692307692307693
1120866,1365,0.02631578947368421
1129443,1365,0.05405405405405406
1130600,1365,0.04878048780487805
1132922,1365,0.06976744186046512
1135137,1365,0.023809523809523808
1135368,1365,0.05
1152143,1365,0.02564102564102564
4878,1481,0.12903225806451613
13960,1481,0.02564102564102564
521207,1481,0.02857142857142857
1102567,1481,0.02564102564102564
1106052,1481,0.023809523809523808
1108267,1481,0.08823529411764706
1111614,1481,0.09090909090909091
1113934,1481,0.08108108108108109
1114864,1481,0.03225806451612903
1153891,1481,0.02564102564102564
1694,1688,0.08333333333333333
39474,1688,0.05263157894736842
44368,1688,0.05
69284,1688,0.07692307692307693
84021,1688,0.05
152483,1688,0.10526315789473684
576725,1688,0.07142857142857142
647413,1688,0.02564102564102564
694759,1688,0.024390243902439025
1103985,1688,0.075
1131360,1688,0.08333333333333333
1133338,1688,0.08571428571428572
1136814,1688,0.07142857142857142
1153065,1688,0.034482758620689655
39474,1694,0.6666666666666666
50381,1717,0.09090909090909091
733167,1717,0.06896551724137931
1116336,1717,0.11764705882352941
1135108,1717,0.15151515151515152
35797,1786,0.09523809523809523
1114502,1817,0.4827586206896552
1108389,1919,0.10810810810810811
3101,1949,0.2571428571428571
129042,1949,0.1
3095,1951,0.12
1949,1952,0.21621621621621623
3101,1952,0.22857142857142856
1107215,1952,0.05128205128205128
1111899,1952,0.07692307692307693
